Date,Activity,Start Time,End Time,F-RPE,U-RPE,L-RPE,(Sets + Rest) x (Reps + Rest) w/ Load,Notes,Duration,Finger Load,Upper Load,Lower Load,Finger Recovery Days,Upper Recovery Days,Lower Recovery Days
5/13/24,Movement Practice,5:00 PM,5:30 PM,4,4,3,,,0.5,2,2,1.5,1.04,1.04,0.71
5/13/24,Performance,5:30 PM,6:30 PM,8,7,2,,green slab,1,8,7,2,3.18,2.5,0.43
5/13/24,Performance,6:30 PM,7:00 PM,8.5,8,2,,purple dihedral,0.5,4.25,4,1,3.57,3.18,0.43
5/13/24,Performance,7:00 PM,7:30 PM,7,8,2,,black bulge,0.5,3.5,4,1,2.5,3.18,0.43
5/13/24,Power,7:45 PM,8:15 PM,7,7,0,,,0.5,3.5,3.5,0,2.5,2.5,0
5/14/24,Warm-Up,12:00 PM,12:15 PM,3,3,2,,,0.25,0.75,0.75,0.5,0.71,0.71,0.43
5/14/24,PumpCap/AnCap,1:00 PM,1:20 PM,8,5,2,,,0.33,2.67,1.67,0.67,3.18,1.45,0.43
5/15/24,Cross Training,12:10 AM,12:20 AM,0,7,4,,,0.17,0,1.17,0.67,0,2.5,1.04
5/15/24,Movement Practice,7:00 PM,9:00 PM,4,6,2,,"spanning deadpoints and bumps, one hard deadpoint on slab from vertical pinch over bad feet, trailing foot propulsion!!",2,8,12,4,1.04,1.92,0.43
5/15/24,Bouldering,9:00 PM,10:00 PM,7,6,3,,"Onsighting, had trouble with crux of a red tag... limit moves with braiden",1,7,6,3,2.5,1.92,0.71
5/16/24,Movement Practice,8:30 PM,9:30 PM,4.5,4.5,2.5,,,1,4.5,4.5,2.5,1.24,1.24,0.56
5/17/24,Warm-Up,7:30 PM,7:45 PM,5,5,3,,"very quick on-wall traversing, leading foot positions",0.25,1.25,1.25,0.75,1.45,1.45,0.71
5/17/24,Strength,8:15 PM,8:45 PM,7.5,9,2,,crux holds! felt good in positions but very challenging,0.5,3.75,4.5,1,2.82,4,0.43
5/17/24,Performance,9:15 PM,9:30 PM,6,5,3,,5.11+/7A onsight,0.25,1.5,1.25,0.75,1.92,1.45,0.71
5/17/24,Performance,9:45 PM,10:00 PM,8,6,2,,projecting 5.13/8A,0.25,2,1.5,0.5,3.18,1.92,0.43
5/18/24,Cross Training,12:30 PM,12:45 PM,0,7.5,0,,core and pushups circuit,0.25,0,1.88,0,0,2.82,0
5/18/24,Cross Training,12:45 PM,1:00 PM,0,3,5,,lower and shoudler circuit,0.25,0,0.75,1.25,0,0.71,1.45
5/19/24,Warm-Up,1:15 PM,1:30 PM,0,3,3,,,0.25,0,0.75,0.75,0,0.71,0.71
5/19/24,Movement Practice,1:30 PM,2:00 PM,5,5,2,,,0.5,2.5,2.5,1,1.45,1.45,0.43
5/19/24,Power,2:00 PM,2:30 PM,7,8,2,,"red tag slopey move, horrible heel, green tag comitting at top",0.5,3.5,4,1,2.5,3.18,0.43
5/19/24,Performance,2:40 PM,2:50 PM,7,6,2,,"5.12 red onsight, fell making poor beta choice, needed to roll through undercling... even if tired",0.17,1.17,1,0.33,2.5,1.92,0.43
5/19/24,Performance,3:20 PM,3:30 PM,8,6,2,,"5.12 green onsight, fingers gave out on crimps both falls",0.17,1.33,1,0.33,3.18,1.92,0.43
5/19/24,PumpCap/AnCap,4:00 PM,4:15 PM,9,6,2,,"5.11 double, fell 1/3 way on second lap",0.25,2.25,1.5,0.5,4,1.92,0.43
5/19/24,PumpCap/AnCap,4:30 PM,5:00 PM,9,3,2,,"feet on campus descenders, lots of failure but always clsoe to time. noticed ease of full crimping when very tired",0.5,4.5,1.5,1,4,0.71,0.43
5/20/24,Warm-Up,8:45 PM,9:00 PM,3,3,0,,,0.25,0.75,0.75,0,0.71,0.71,0
5/20/24,Bouldering,9:00 PM,10:00 PM,6,6,2,,,1,6,6,2,1.92,1.92,0.43
5/21/24,Movement Practice,4:40 PM,5:20 PM,5,7,0,,far low leading foot shouldery deadpoints,0.67,3.33,4.67,0,1.45,2.5,0
5/21/24,Performance,5:30 PM,6:10 PM,8,8,0,,"worked and sent black V7 with spanny start, into powerful small holds on high feet",0.67,5.33,5.33,0,3.18,3.18,0
5/22/24,Warm-Up,8:30 PM,9:00 PM,5,5,0,,"got a little pumped, did some big moves",0.5,2.5,2.5,0,1.45,1.45,0
5/22/24,Strength,9:15 PM,9:45 PM,8,8,2,,limit holds,0.5,4,4,1,3.18,3.18,0.43
5/22/24,Bouldering,9:45 PM,10:00 PM,4,6,0,,braiden's big move makeups,0.25,1,1.5,0,1.04,1.92,0
5/27/24,Cardio,10:40 AM,11:00 AM,0,0,4,,kaymoor - bridge buttress approach,0.33,0,0,1.33,0,0,1.04
5/27/24,Outdoor Routes,11:30 AM,12:00 PM,8,6,2,,"10a but felt like 11a, 2 takes",0.5,4,3,1,3.18,1.92,0.43
5/27/24,Outdoor Routes,12:30 PM,1:00 PM,8,5,2,,"10b right of the two at bridge buttress, super fun movement, 2 takes",0.5,4,2.5,1,3.18,1.45,0.43
5/27/24,Outdoor Routes,1:15 PM,1:30 PM,7,5,2,,sent the 10b,0.25,1.75,1.25,0.5,2.5,1.45,0.43
5/27/24,Cardio,2:20 PM,2:40 PM,0,0,6.5,,kaymoor - bridge buttress return,0.33,0,0,2.17,0,0,2.2
5/26/24,Cardio,10:00 AM,10:30 AM,0,0,4,,honeymooner's ladder approach,0.5,0,0,2,0,0,1.04
5/26/24,Outdoor Routes,11:30 AM,12:00 PM,3,3,3,,endless wall 5.9,0.5,1.5,1.5,1.5,0.71,0.71,0.71
5/26/24,Outdoor Routes,12:30 PM,1:15 PM,9,7,0,,endless wall 5.11d,0.75,6.75,5.25,0,4,2.5,0
5/26/24,Cardio,4:00 PM,4:30 PM,0,0,5,,honeymooner's ladder return,0.5,0,0,2.5,0,0,1.45
5/25/24,Cardio,11:00 AM,11:30 AM,0,0,5,,2nd buttress approach,0.5,0,0,2.5,0,0,1.45
5/25/24,Outdoor Routes,12:45 PM,1:00 PM,6,4,0,,5.7,0.25,1.5,1,0,1.92,1.04,0
5/25/24,Outdoor Routes,1:30 PM,2:00 PM,9,6,0,,5.11b,0.5,4.5,3,0,4,1.92,0
5/25/24,Outdoor Routes,2:30 PM,3:00 PM,9,6,0,,5.11a,0.5,4.5,3,0,4,1.92,0
5/25/24,Outdoor Routes,4:30 PM,5:00 PM,8,7,0,,5.12a,0.5,4,3.5,0,3.18,2.5,0
5/25/24,Cardio,6:00 PM,6:30 PM,0,0,5,,3rd buttress return,0.5,0,0,2.5,0,0,1.45
5/29/24,Movement Practice,8:30 PM,8:45 PM,3,3,0,,throwing hips,0.25,0.75,0.75,0,0.71,0.71,0
5/29/24,Bouldering,8:45 PM,9:30 PM,7,7,2,,pretty sloppy overly powerful movement...,0.75,5.25,5.25,1.5,2.5,2.5,0.43
5/29/24,PumpCap/AnCap,9:30 PM,10:00 PM,8.5,5,0,,"unsure of myself on wall, poor movement chocies when tired",0.5,4.25,2.5,0,3.57,1.45,0
5/30/24,Movement Practice,9:00 PM,10:00 PM,3,5,2,,,1,3,5,2,0.71,1.45,0.43
5/31/24,Warm-Up,8:00 PM,8:15 PM,3,3,3,,fingers and shoulders and mobility,0.25,0.75,0.75,0.75,0.71,0.71,0.71
5/31/24,Performance,9:15 PM,10:00 PM,8,6,2,3 x 2 + 5,3 x 2 + 5; onsighting 5.12s with 2 attempts from ground,0.75,6,4.5,1.5,3.18,1.92,0.43
6/3/24,Warm-Up,12:30 PM,1:00 PM,3,3,3,,,0.5,1.5,1.5,1.5,0.71,0.71,0.71
6/3/24,Performance,1:15 PM,1:30 PM,9,7,2,,"Onsight 5.11 crimpy flat wall, started tightening up and overgripping when tired. doubted holds early, uncomfy 3drag, RELAX WHEN TIRED!",0.25,2.25,1.75,0.5,4,2.5,0.43
6/3/24,Performance,1:45 PM,2:00 PM,4,7,2,,"Onsight 5.12 delicate pressing, POSITION AROUND HOLDS, MOVE FEET!",0.25,1,1.75,0.5,1.04,2.5,0.43
6/3/24,Performance,2:15 PM,2:40 PM,7,8,2,,"Onsight 5.13- physical, FEET sequencing and execution",0.42,2.92,3.33,0.83,2.5,3.18,0.43
6/3/24,Bouldering,2:30 PM,3:15 PM,5,5,3,,"lots of V3-V4s on flat walls, just technical compy stuff, pretty aerobically taxing",0.75,3.75,3.75,2.25,1.45,1.45,0.71
6/5/24,Warm-Up,7:30 PM,7:45 PM,3,3,3,,,0.25,0.75,0.75,0.75,0.71,0.71,0.71
6/5/24,Movement Practice,7:45 PM,8:15 PM,5,5,0,,,0.5,2.5,2.5,0,1.45,1.45,0
6/5/24,Bouldering,8:15 PM,9:00 PM,6,6,2,,,0.75,4.5,4.5,1.5,1.92,1.92,0.43
6/5/24,Strength,9:00 PM,9:30 PM,7,8,3,,,0.5,3.5,4,1.5,2.5,3.18,0.71
6/5/24,PumpCap/AnCap,9:30 PM,10:00 PM,7,9,2,,"Jess's circuits - rarely got pumped but still... 45 made easier and fell 1/3 up second, mini roof shoulders gave out in second, dihedral pumped out downclimbing purple",0.5,3.5,4.5,1,2.5,4,0.43
6/8/24,Warm-Up,12:40 PM,1:00 PM,4,5,3,,,0.33,1.33,1.67,1,1.04,1.45,0.71
6/8/24,Performance,1:00 PM,3:30 PM,6.5,9,2,,evo comp,2.5,16.25,22.5,5,2.2,4,0.43
6/7/24,Movement Practice,8:00 PM,9:00 PM,5,6,2,,,1,5,6,2,1.45,1.92,0.43
6/10/24,Warm-Up,1:15 PM,1:30 PM,3,3,3,,,0.25,0.75,0.75,0.75,0.71,0.71,0.71
6/10/24,Power,1:30 PM,3:00 PM,8,8,1,kilter board with Avi,"kilter board with Avi; truly trying hard in last half hour, generation was uncoordinated, catching was weak",1.5,12,12,1.5,3.18,3.18,0.2
6/12/24,Movement Practice,8:00 PM,10:00 PM,5,5,3,,,2,10,10,6,1.45,1.45,0.71
6/13/24,Warm-Up,5:00 PM,5:15 PM,3,2,1,"Feet off traversing, stretch","Feet off traversing, stretch; ",0.25,0.75,0.5,0.25,0.71,0.43,0.2
6/13/24,Performance,5:15 PM,5:45 PM,7,5,2.5,Three 5.10 onsights,Three 5.10 onsights; Leisurely pace but good practice for maintaining good movement when pump builds,0.5,3.5,2.5,1.25,2.5,1.45,0.56
6/13/24,PumpCap/AnCap,5:45 PM,6:00 PM,9,3,2,Campus Board Dropset,Campus Board Dropset; Fought to failure in only 3rd to last set,0.25,2.25,0.75,0.5,4,0.71,0.43
6/14/24,Outdoor Bouldering,8:00 PM,9:30 PM,6,7,4,,don't pinch a sloper when you need to compress - elbow in to engage the shoulder. ,1.5,9,10.5,6,1.92,2.5,1.04
6/14/24,Warm-Up,7:45 PM,8:00 PM,5,3,2,,,0.25,1.25,0.75,0.5,1.45,0.71,0.43
